[2013-06-25 16:28:35,295 INFO c.s.b.Main.main] sdsdsd
[2013-06-25 16:28:38,644 ERROR c.s.b.Main.main] 2332323123
[2013-06-25 18:01:42,458 INFO c.s.b.Main.main] sdsdsd
[2013-06-25 18:01:42,460 ERROR c.s.b.Main.main] 2332323123
[2013-06-25 18:06:34,231 INFO c.s.b.Main.main] sdsdsd
[2013-06-25 18:06:34,233 ERROR c.s.b.Main.main] 2332323123
[2013-06-25 18:06:56,914 INFO c.s.b.Main.main] sdsdsd
[2013-06-25 18:06:56,915 ERROR c.s.b.Main.main] 2332323123
[2013-06-25 18:07:14,912 INFO c.s.b.Main.main] sdsdsd
[2013-06-25 18:07:14,914 ERROR c.s.b.Main.main] 2332323123
[2013-06-25 18:08:51,041 INFO c.s.b.Main.main] sdsdsd
[2013-06-25 18:08:51,043 ERROR c.s.b.Main.main] 2332323123
[2013-06-25 18:09:19,468 INFO c.s.b.Main.main] sdsdsd
[2013-06-25 18:09:19,470 ERROR c.s.b.Main.main] 2332323123
[2013-06-25 18:09:59,985 INFO c.s.b.Main.main] sdsdsd
[2013-06-25 18:09:59,987 ERROR c.s.b.Main.main] 2332323123
[2013-06-25 18:10:41,462 INFO c.s.b.Main.main] sdsdsd
[2013-06-25 18:10:41,464 ERROR c.s.b.Main.main] 2332323123
[2013-06-25 18:10:58,151 INFO c.s.b.Main.main] sdsdsd
[2013-06-25 18:10:58,152 ERROR c.s.b.Main.main] 2332323123
[2013-06-25 18:14:12,011 INFO c.s.b.Main.main] sdsdsd
[2013-06-25 18:14:12,012 ERROR c.s.b.Main.main] 2332323123
[2013-06-25 21:06:10,839 INFO c.s.b.w.c.SearchController.main] aaaaaaaaaaaaaaa
[2013-06-25 21:06:10,844 ERROR c.s.b.w.c.SearchController.main] bbbbbbbbbbbbbbbbb
[2013-06-25 21:06:10,846 ERROR c.s.b.w.c.SearchController.main] bbbbbbbbbbbbbbbbb
[2013-06-25 21:06:10,846 ERROR c.s.b.w.c.SearchController.main] bbbbbbbbbbbbbbbbb
[2013-06-25 21:06:10,846 ERROR c.s.b.w.c.SearchController.main] bbbbbbbbbbbbbbbbb
[2013-06-25 21:06:10,847 ERROR c.s.b.w.c.SearchController.main] bbbbbbbbbbbbbbbbb
[2013-06-25 21:06:10,848 ERROR c.s.b.w.c.SearchController.main] bbbbbbbbbbbbbbbbb
